train,station,time,day,weather,crowd
CSMT_FAST,Borivali,23:15,WEDNESDAY,CLEAR,HIGH
CSMT_FAST,Ghatkopar,08:30,THURSDAY,RAIN,HIGH
CSMT_SLOW,Dadar,12:45,TUESDAY,CLOUDY,MEDIUM
CSMT_SLOW,Byculla,22:45,FRIDAY,CLEAR,MEDIUM
CSMT_SLOW,Nerul,18:45,WEDNESDAY,CLEAR,HIGH
CSMT_FAST,Vikhroli,13:30,MONDAY,RAIN,HIGH
CSMT_SLOW,Mulund,22:15,SUNDAY,CLOUDY,LOW
CSMT_FAST,Nerul,17:45,WEDNESDAY,CLOUDY,HIGH
CSMT_FAST,Kalyan,07:00,MONDAY,RAIN,HIGH
CSMT_SLOW,Virar,11:45,MONDAY,RAIN,MEDIUM
CSMT_FAST,Thane,12:30,WEDNESDAY,RAIN,LOW
CSMT_FAST,Vashi,07:30,SUNDAY,RAIN,HIGH
CSMT_FAST,Byculla,08:30,WEDNESDAY,CLOUDY,HIGH
CSMT_FAST,Bandra,11:00,MONDAY,RAIN,HIGH
CSMT_SLOW,Dadar,16:45,TUESDAY,CLEAR,MEDIUM
CSMT_FAST,Virar,08:15,MONDAY,RAIN,HIGH
CSMT_FAST,Vikhroli,09:30,FRIDAY,CLEAR,HIGH
CSMT_FAST,Kurla,11:00,SATURDAY,RAIN,LOW
CSMT_FAST,Dadar,15:00,WEDNESDAY,CLEAR,LOW
CSMT_SLOW,Vashi,05:00,FRIDAY,CLOUDY,HIGH
CSMT_SLOW,Bhandup,09:45,SUNDAY,CLEAR,HIGH
CSMT_SLOW,Dadar,17:30,FRIDAY,CLOUDY,HIGH
CSMT_FAST,Byculla,18:00,FRIDAY,CLEAR,HIGH
CSMT_FAST,Dadar,23:45,MONDAY,RAIN,HIGH
CSMT_FAST,Nerul,13:30,WEDNESDAY,CLOUDY,HIGH
CSMT_SLOW,Kurla,14:00,THURSDAY,CLOUDY,LOW
CSMT_FAST,Kanjurmarg,12:45,MONDAY,CLEAR,LOW
CSMT_SLOW,Bandra,06:45,FRIDAY,CLEAR,LOW
CSMT_FAST,Thane,10:30,SUNDAY,CLOUDY,LOW
CSMT_SLOW,Bhandup,08:00,WEDNESDAY,CLEAR,HIGH
CSMT_SLOW,Virar,18:45,WEDNESDAY,RAIN,HIGH
CSMT_SLOW,Ghatkopar,16:00,SATURDAY,RAIN,LOW
CSMT_FAST,Byculla,11:30,WEDNESDAY,CLEAR,LOW
CSMT_SLOW,Virar,15:45,SUNDAY,CLEAR,LOW
CSMT_SLOW,Kurla,07:00,TUESDAY,RAIN,HIGH
CSMT_FAST,Kalyan,11:15,FRIDAY,CLEAR,HIGH
CSMT_FAST,Vikhroli,08:00,THURSDAY,RAIN,HIGH
CSMT_FAST,CSMT,21:00,SATURDAY,CLOUDY,LOW
CSMT_FAST,Kanjurmarg,07:00,TUESDAY,CLOUDY,HIGH
CSMT_FAST,CSMT,09:00,SATURDAY,CLEAR,HIGH
CSMT_FAST,Thane,20:30,MONDAY,CLEAR,LOW
CSMT_FAST,Kanjurmarg,09:15,SUNDAY,RAIN,HIGH
CSMT_FAST,Thane,22:30,THURSDAY,CLOUDY,HIGH
CSMT_SLOW,Kurla,07:45,MONDAY,CLEAR,HIGH
CSMT_FAST,Thane,08:30,THURSDAY,CLEAR,HIGH
CSMT_FAST,Ghatkopar,05:15,THURSDAY,CLOUDY,LOW
CSMT_FAST,Borivali,12:15,SATURDAY,RAIN,LOW
CSMT_SLOW,Virar,23:00,FRIDAY,CLEAR,HIGH
CSMT_FAST,Nerul,08:00,MONDAY,CLEAR,HIGH
CSMT_FAST,Kalyan,21:00,FRIDAY,CLEAR,LOW
CSMT_SLOW,Kanjurmarg,23:45,SUNDAY,RAIN,LOW
CSMT_FAST,Mulund,18:00,MONDAY,CLOUDY,HIGH
CSMT_FAST,Bhandup,22:45,WEDNESDAY,CLEAR,MEDIUM
CSMT_SLOW,Nerul,20:00,SUNDAY,RAIN,LOW
CSMT_SLOW,Andheri,20:30,MONDAY,CLOUDY,MEDIUM
CSMT_FAST,CSMT,17:15,SATURDAY,CLOUDY,HIGH
CSMT_FAST,Kalyan,13:30,WEDNESDAY,CLEAR,HIGH
CSMT_SLOW,Kalyan,17:45,FRIDAY,RAIN,HIGH
CSMT_SLOW,Kalyan,05:00,SUNDAY,RAIN,LOW
CSMT_FAST,Vikhroli,17:15,THURSDAY,CLEAR,HIGH
CSMT_SLOW,Borivali,23:15,SUNDAY,CLOUDY,LOW
CSMT_FAST,Dombivli,16:30,THURSDAY,CLOUDY,MEDIUM
CSMT_SLOW,Panvel,22:00,MONDAY,CLOUDY,LOW
CSMT_SLOW,Kalyan,21:30,WEDNESDAY,RAIN,LOW
CSMT_FAST,Borivali,13:45,WEDNESDAY,CLEAR,MEDIUM
CSMT_FAST,Vikhroli,12:45,TUESDAY,CLEAR,HIGH
CSMT_SLOW,Panvel,05:15,TUESDAY,RAIN,HIGH
CSMT_SLOW,Kalyan,23:45,THURSDAY,CLEAR,HIGH
CSMT_FAST,Bhandup,20:45,WEDNESDAY,CLOUDY,MEDIUM
CSMT_FAST,Dadar,21:30,WEDNESDAY,CLEAR,MEDIUM
CSMT_SLOW,Dombivli,14:45,SUNDAY,CLOUDY,LOW
CSMT_FAST,Andheri,06:15,SATURDAY,CLEAR,LOW
CSMT_SLOW,Vashi,09:00,TUESDAY,CLEAR,HIGH
CSMT_FAST,Thane,10:30,SATURDAY,CLOUDY,LOW
CSMT_FAST,Byculla,07:30,MONDAY,RAIN,HIGH
CSMT_SLOW,Vashi,18:45,SUNDAY,CLEAR,HIGH
CSMT_SLOW,Thane,08:15,MONDAY,CLEAR,HIGH
CSMT_SLOW,Borivali,19:00,SATURDAY,RAIN,HIGH
CSMT_FAST,Thane,20:00,SUNDAY,CLEAR,LOW
CSMT_FAST,Byculla,20:45,MONDAY,RAIN,LOW
CSMT_SLOW,Nerul,08:00,SATURDAY,CLOUDY,HIGH
CSMT_SLOW,Kalyan,22:45,SATURDAY,RAIN,LOW
CSMT_SLOW,Dombivli,14:30,THURSDAY,CLEAR,HIGH
CSMT_SLOW,Panvel,10:15,SUNDAY,CLOUDY,LOW
CSMT_SLOW,Panvel,23:45,THURSDAY,RAIN,MEDIUM
CSMT_FAST,Byculla,14:45,SUNDAY,CLEAR,LOW
CSMT_FAST,Borivali,12:45,FRIDAY,RAIN,HIGH
CSMT_SLOW,Kalyan,21:00,WEDNESDAY,CLEAR,MEDIUM
CSMT_FAST,Kurla,19:30,WEDNESDAY,CLEAR,HIGH
CSMT_SLOW,Bhandup,19:00,MONDAY,RAIN,HIGH
CSMT_SLOW,Thane,18:00,SATURDAY,CLEAR,HIGH
CSMT_SLOW,Thane,22:30,FRIDAY,CLEAR,MEDIUM
CSMT_SLOW,Kurla,20:45,SUNDAY,CLOUDY,LOW
CSMT_SLOW,Virar,11:45,WEDNESDAY,CLOUDY,MEDIUM
CSMT_SLOW,Mulund,06:30,MONDAY,CLEAR,LOW
CSMT_SLOW,Bhandup,05:00,FRIDAY,CLOUDY,LOW
CSMT_FAST,Virar,05:30,MONDAY,CLEAR,LOW
CSMT_FAST,Nerul,14:45,TUESDAY,RAIN,LOW
CSMT_SLOW,CSMT,21:15,SUNDAY,CLOUDY,LOW
CSMT_SLOW,Thane,18:30,SUNDAY,CLOUDY,HIGH
CSMT_SLOW,Kalyan,12:15,WEDNESDAY,CLOUDY,MEDIUM
CSMT_SLOW,Vikhroli,12:30,SUNDAY,CLOUDY,LOW
CSMT_FAST,Dombivli,09:00,WEDNESDAY,CLEAR,HIGH
CSMT_FAST,CSMT,14:15,TUESDAY,CLEAR,MEDIUM
CSMT_SLOW,Ghatkopar,12:30,SATURDAY,RAIN,LOW
CSMT_SLOW,Ghatkopar,16:15,WEDNESDAY,CLEAR,LOW
CSMT_SLOW,Panvel,06:15,TUESDAY,CLEAR,HIGH
CSMT_SLOW,Mulund,22:15,MONDAY,CLOUDY,MEDIUM
CSMT_FAST,Borivali,11:15,SATURDAY,CLEAR,LOW
CSMT_SLOW,Andheri,10:30,MONDAY,CLOUDY,LOW
CSMT_SLOW,Vashi,18:00,SUNDAY,CLEAR,HIGH
CSMT_SLOW,Virar,14:00,SUNDAY,CLEAR,LOW
CSMT_SLOW,CSMT,05:00,THURSDAY,CLOUDY,HIGH
CSMT_FAST,Ghatkopar,11:45,FRIDAY,CLOUDY,MEDIUM
CSMT_FAST,Kanjurmarg,08:00,MONDAY,RAIN,HIGH
CSMT_FAST,Virar,12:30,THURSDAY,CLOUDY,HIGH
CSMT_SLOW,Andheri,09:30,TUESDAY,CLEAR,HIGH
CSMT_FAST,Virar,12:45,MONDAY,CLEAR,LOW
CSMT_SLOW,Bandra,11:30,SUNDAY,CLOUDY,LOW
CSMT_FAST,Vashi,22:00,SATURDAY,CLOUDY,LOW
CSMT_SLOW,Thane,11:00,MONDAY,RAIN,HIGH
CSMT_SLOW,Vashi,18:00,WEDNESDAY,CLOUDY,HIGH
CSMT_SLOW,Panvel,09:00,SUNDAY,CLOUDY,HIGH
CSMT_FAST,Vashi,10:30,THURSDAY,CLOUDY,MEDIUM
CSMT_SLOW,Nerul,15:00,THURSDAY,RAIN,HIGH
CSMT_FAST,Kanjurmarg,05:45,FRIDAY,CLOUDY,MEDIUM
CSMT_SLOW,Kurla,17:00,SATURDAY,CLOUDY,HIGH
CSMT_SLOW,Panvel,21:15,SATURDAY,RAIN,LOW
CSMT_FAST,Kanjurmarg,13:30,FRIDAY,CLOUDY,MEDIUM
CSMT_SLOW,Bandra,19:00,FRIDAY,CLOUDY,HIGH
CSMT_SLOW,Vashi,05:15,SATURDAY,CLOUDY,LOW
CSMT_SLOW,Kalyan,06:15,FRIDAY,RAIN,HIGH
CSMT_SLOW,Virar,07:15,TUESDAY,RAIN,HIGH
CSMT_SLOW,Bhandup,12:30,MONDAY,RAIN,LOW
CSMT_FAST,Andheri,16:00,SUNDAY,RAIN,LOW
CSMT_FAST,Bhandup,10:45,MONDAY,CLEAR,MEDIUM
CSMT_FAST,Byculla,09:00,THURSDAY,CLOUDY,HIGH
CSMT_FAST,Dombivli,21:15,SUNDAY,CLOUDY,LOW
CSMT_FAST,Kanjurmarg,16:15,WEDNESDAY,CLEAR,LOW
CSMT_SLOW,Thane,22:30,SATURDAY,CLOUDY,LOW
CSMT_SLOW,Kalyan,19:15,SATURDAY,RAIN,HIGH
CSMT_SLOW,Mulund,14:15,SUNDAY,CLEAR,LOW
CSMT_FAST,Nerul,21:30,TUESDAY,CLEAR,HIGH
CSMT_FAST,Panvel,23:45,SUNDAY,RAIN,LOW
CSMT_SLOW,Vikhroli,06:45,TUESDAY,CLEAR,LOW
CSMT_SLOW,Byculla,21:00,TUESDAY,RAIN,HIGH
CSMT_FAST,Vikhroli,06:00,TUESDAY,CLOUDY,MEDIUM
CSMT_FAST,Dombivli,21:00,SUNDAY,CLEAR,LOW
CSMT_SLOW,Virar,07:00,FRIDAY,CLEAR,HIGH
CSMT_FAST,Dombivli,21:15,FRIDAY,CLEAR,MEDIUM
CSMT_FAST,Kalyan,18:45,THURSDAY,CLEAR,HIGH
CSMT_FAST,Nerul,14:45,TUESDAY,RAIN,MEDIUM
CSMT_FAST,Vashi,11:30,TUESDAY,CLOUDY,HIGH
CSMT_FAST,Virar,21:30,SUNDAY,CLEAR,LOW
CSMT_SLOW,Vikhroli,12:30,MONDAY,CLEAR,LOW
CSMT_SLOW,CSMT,11:00,MONDAY,CLEAR,MEDIUM
CSMT_FAST,Dombivli,20:15,SATURDAY,RAIN,LOW
CSMT_SLOW,Bhandup,18:15,THURSDAY,CLEAR,HIGH
CSMT_FAST,Byculla,15:30,SUNDAY,CLEAR,LOW
CSMT_SLOW,Virar,12:30,THURSDAY,RAIN,MEDIUM
CSMT_FAST,Ghatkopar,19:30,THURSDAY,CLOUDY,HIGH
CSMT_SLOW,Virar,06:30,SUNDAY,CLEAR,LOW
CSMT_FAST,Andheri,10:45,SATURDAY,RAIN,LOW
CSMT_FAST,Vashi,14:45,MONDAY,CLOUDY,MEDIUM
CSMT_SLOW,Virar,19:15,SUNDAY,RAIN,HIGH
CSMT_SLOW,Vikhroli,13:15,TUESDAY,CLOUDY,HIGH
CSMT_SLOW,Vikhroli,14:45,SATURDAY,CLEAR,LOW
CSMT_SLOW,CSMT,14:45,WEDNESDAY,RAIN,MEDIUM
CSMT_FAST,Kurla,20:30,THURSDAY,RAIN,LOW
CSMT_FAST,Bandra,05:45,WEDNESDAY,CLOUDY,MEDIUM
CSMT_SLOW,Virar,05:15,WEDNESDAY,CLOUDY,LOW
CSMT_SLOW,Kurla,14:15,THURSDAY,CLOUDY,HIGH
CSMT_SLOW,Kalyan,21:30,THURSDAY,CLOUDY,MEDIUM
CSMT_SLOW,Bandra,18:15,MONDAY,CLEAR,HIGH
CSMT_SLOW,Dombivli,23:15,TUESDAY,RAIN,LOW
CSMT_SLOW,Nerul,17:45,SATURDAY,CLEAR,HIGH
CSMT_SLOW,Kurla,08:45,THURSDAY,CLEAR,HIGH
CSMT_SLOW,Bhandup,11:45,SUNDAY,RAIN,LOW
CSMT_SLOW,Bandra,13:45,SUNDAY,RAIN,LOW
CSMT_SLOW,Dadar,07:30,SUNDAY,CLOUDY,HIGH
CSMT_FAST,Thane,16:00,FRIDAY,CLEAR,LOW
CSMT_SLOW,Dadar,08:30,WEDNESDAY,CLEAR,HIGH
CSMT_FAST,Kanjurmarg,12:15,THURSDAY,CLOUDY,HIGH
CSMT_FAST,Dombivli,10:00,SATURDAY,CLOUDY,LOW
CSMT_FAST,Ghatkopar,20:00,MONDAY,RAIN,HIGH
CSMT_FAST,Dombivli,16:00,WEDNESDAY,RAIN,HIGH
CSMT_FAST,Kanjurmarg,19:15,SATURDAY,CLOUDY,HIGH
CSMT_SLOW,Ghatkopar,20:30,WEDNESDAY,CLOUDY,HIGH
CSMT_FAST,Mulund,21:00,THURSDAY,CLOUDY,HIGH
CSMT_FAST,Borivali,23:15,SUNDAY,CLEAR,LOW
CSMT_FAST,Bandra,19:15,SUNDAY,RAIN,HIGH
CSMT_FAST,Virar,22:30,SATURDAY,RAIN,LOW
CSMT_SLOW,Vashi,15:30,MONDAY,RAIN,HIGH
CSMT_FAST,Bandra,21:00,FRIDAY,RAIN,HIGH
CSMT_SLOW,Byculla,05:30,MONDAY,CLOUDY,LOW
CSMT_FAST,Virar,07:00,FRIDAY,RAIN,HIGH
CSMT_FAST,Kanjurmarg,12:45,SUNDAY,RAIN,LOW
CSMT_FAST,Virar,05:15,THURSDAY,CLEAR,MEDIUM
CSMT_SLOW,Dadar,06:30,TUESDAY,RAIN,HIGH
CSMT_SLOW,Dadar,13:45,WEDNESDAY,RAIN,MEDIUM
CSMT_SLOW,Dadar,11:15,WEDNESDAY,RAIN,LOW
CSMT_SLOW,Dombivli,22:30,TUESDAY,RAIN,HIGH
CSMT_SLOW,Panvel,16:45,FRIDAY,CLEAR,MEDIUM
CSMT_FAST,Byculla,13:45,TUESDAY,RAIN,LOW
CSMT_FAST,Byculla,13:15,SATURDAY,CLEAR,LOW
CSMT_SLOW,Ghatkopar,23:45,TUESDAY,RAIN,LOW
CSMT_FAST,Vikhroli,14:00,SUNDAY,CLEAR,LOW
CSMT_FAST,Thane,10:15,TUESDAY,RAIN,LOW
CSMT_FAST,Kalyan,09:45,MONDAY,RAIN,HIGH
CSMT_FAST,Virar,16:30,MONDAY,CLOUDY,HIGH
CSMT_SLOW,Vashi,12:30,THURSDAY,CLOUDY,HIGH
CSMT_SLOW,Kanjurmarg,14:15,TUESDAY,RAIN,HIGH
CSMT_FAST,Thane,22:30,FRIDAY,CLEAR,LOW
CSMT_FAST,Dombivli,13:15,TUESDAY,CLEAR,HIGH
CSMT_SLOW,Bhandup,11:15,WEDNESDAY,CLOUDY,HIGH
CSMT_FAST,Virar,17:30,MONDAY,CLEAR,HIGH
CSMT_FAST,Bhandup,09:30,SATURDAY,RAIN,HIGH
CSMT_SLOW,Panvel,13:00,SUNDAY,CLOUDY,LOW
CSMT_SLOW,Mulund,15:30,SUNDAY,CLEAR,LOW
CSMT_FAST,Kurla,13:00,THURSDAY,CLEAR,LOW
CSMT_FAST,Nerul,08:30,FRIDAY,CLOUDY,HIGH
CSMT_FAST,Bandra,07:30,THURSDAY,RAIN,HIGH
CSMT_FAST,Vikhroli,19:15,TUESDAY,CLOUDY,HIGH
CSMT_FAST,Byculla,22:00,WEDNESDAY,CLEAR,HIGH
CSMT_FAST,Andheri,16:45,THURSDAY,RAIN,MEDIUM
CSMT_FAST,Kalyan,18:15,FRIDAY,RAIN,HIGH
CSMT_SLOW,Kalyan,10:45,TUESDAY,CLOUDY,MEDIUM
CSMT_SLOW,Vashi,16:15,THURSDAY,RAIN,MEDIUM
CSMT_SLOW,Bandra,17:45,FRIDAY,CLOUDY,HIGH
CSMT_FAST,Bhandup,23:45,WEDNESDAY,CLOUDY,HIGH
CSMT_SLOW,Dadar,21:15,THURSDAY,RAIN,MEDIUM
CSMT_SLOW,Byculla,22:00,THURSDAY,CLEAR,MEDIUM
CSMT_FAST,Byculla,11:30,SATURDAY,CLEAR,LOW
CSMT_FAST,Bhandup,05:15,THURSDAY,CLOUDY,HIGH
CSMT_FAST,Dadar,22:15,THURSDAY,CLOUDY,MEDIUM
CSMT_FAST,Kurla,09:00,THURSDAY,RAIN,HIGH
CSMT_SLOW,Andheri,09:45,TUESDAY,CLEAR,HIGH
CSMT_SLOW,Ghatkopar,22:45,SUNDAY,RAIN,LOW
CSMT_FAST,Dadar,17:30,FRIDAY,RAIN,HIGH
CSMT_SLOW,Ghatkopar,20:15,SUNDAY,CLOUDY,LOW
CSMT_FAST,Virar,15:15,MONDAY,CLOUDY,LOW
CSMT_FAST,Byculla,16:15,THURSDAY,RAIN,MEDIUM
CSMT_SLOW,Thane,12:00,MONDAY,CLOUDY,HIGH
CSMT_FAST,Dadar,21:30,SUNDAY,CLOUDY,LOW
CSMT_FAST,Bandra,21:00,THURSDAY,RAIN,HIGH
CSMT_SLOW,Kurla,12:15,SATURDAY,RAIN,LOW
CSMT_SLOW,Dombivli,09:15,WEDNESDAY,CLEAR,HIGH
CSMT_SLOW,Vikhroli,20:00,SATURDAY,CLEAR,LOW
CSMT_FAST,Dombivli,08:15,THURSDAY,CLEAR,HIGH
CSMT_FAST,Mulund,07:00,THURSDAY,CLEAR,HIGH
CSMT_SLOW,Nerul,15:00,MONDAY,CLEAR,LOW
CSMT_SLOW,Nerul,10:45,SUNDAY,CLOUDY,LOW
CSMT_FAST,Nerul,22:30,WEDNESDAY,RAIN,MEDIUM
CSMT_SLOW,Dombivli,08:45,FRIDAY,RAIN,HIGH
CSMT_SLOW,Thane,23:15,WEDNESDAY,CLOUDY,HIGH
CSMT_FAST,Panvel,10:00,WEDNESDAY,RAIN,MEDIUM
CSMT_FAST,Dadar,06:30,MONDAY,CLEAR,LOW
CSMT_FAST,Vashi,10:15,FRIDAY,RAIN,LOW
CSMT_FAST,Byculla,15:00,TUESDAY,RAIN,MEDIUM
CSMT_FAST,Kurla,10:45,WEDNESDAY,CLEAR,LOW
CSMT_FAST,Thane,19:00,SUNDAY,RAIN,HIGH
CSMT_FAST,Vashi,23:00,SATURDAY,CLOUDY,LOW
CSMT_FAST,Vikhroli,20:45,SUNDAY,CLOUDY,LOW
CSMT_FAST,Mulund,09:30,SATURDAY,RAIN,HIGH
CSMT_FAST,Dombivli,19:30,WEDNESDAY,CLOUDY,HIGH
CSMT_SLOW,Bhandup,19:30,MONDAY,CLEAR,HIGH
CSMT_SLOW,Byculla,19:30,SATURDAY,CLEAR,HIGH
CSMT_FAST,Kanjurmarg,09:00,TUESDAY,RAIN,HIGH
CSMT_FAST,Mulund,09:30,SUNDAY,CLEAR,HIGH
CSMT_SLOW,Mulund,12:30,TUESDAY,CLEAR,HIGH
CSMT_SLOW,Ghatkopar,14:00,TUESDAY,CLEAR,MEDIUM
CSMT_SLOW,Bandra,18:15,THURSDAY,RAIN,HIGH
CSMT_SLOW,Kurla,05:45,WEDNESDAY,CLOUDY,LOW
CSMT_FAST,Virar,09:30,TUESDAY,CLEAR,HIGH
CSMT_SLOW,Borivali,11:15,SUNDAY,CLOUDY,LOW
CSMT_SLOW,Dadar,20:45,MONDAY,CLOUDY,HIGH
CSMT_FAST,Vikhroli,06:45,TUESDAY,CLEAR,MEDIUM
CSMT_SLOW,Borivali,15:30,SATURDAY,CLOUDY,LOW
CSMT_FAST,Andheri,23:30,WEDNESDAY,RAIN,HIGH
CSMT_SLOW,Borivali,08:30,FRIDAY,RAIN,HIGH
CSMT_FAST,Ghatkopar,08:45,SATURDAY,CLEAR,HIGH
CSMT_SLOW,Vikhroli,19:45,THURSDAY,RAIN,HIGH
CSMT_FAST,Borivali,11:00,FRIDAY,CLEAR,MEDIUM
CSMT_FAST,Byculla,21:00,THURSDAY,CLOUDY,HIGH
CSMT_FAST,Byculla,21:15,MONDAY,CLOUDY,HIGH
CSMT_FAST,Byculla,08:30,MONDAY,CLEAR,HIGH
CSMT_FAST,Panvel,11:15,THURSDAY,RAIN,MEDIUM
CSMT_FAST,Panvel,11:00,SUNDAY,CLOUDY,LOW
CSMT_SLOW,Kurla,19:00,TUESDAY,CLEAR,HIGH
CSMT_SLOW,Thane,20:45,SATURDAY,CLOUDY,LOW
CSMT_FAST,Vashi,19:45,WEDNESDAY,CLOUDY,HIGH
CSMT_SLOW,Bhandup,13:15,THURSDAY,RAIN,LOW
CSMT_FAST,Panvel,23:45,WEDNESDAY,CLEAR,LOW
CSMT_SLOW,Nerul,12:30,WEDNESDAY,CLEAR,MEDIUM
CSMT_FAST,Thane,17:30,FRIDAY,CLOUDY,HIGH
CSMT_FAST,Dombivli,11:15,SATURDAY,CLOUDY,LOW
CSMT_FAST,Bhandup,05:30,TUESDAY,CLOUDY,LOW
CSMT_FAST,Virar,06:15,MONDAY,RAIN,MEDIUM
CSMT_FAST,Bhandup,22:00,WEDNESDAY,CLOUDY,MEDIUM
CSMT_FAST,Panvel,18:45,WEDNESDAY,RAIN,HIGH
CSMT_SLOW,Nerul,14:15,MONDAY,CLEAR,HIGH
CSMT_SLOW,Virar,11:15,FRIDAY,CLEAR,LOW
CSMT_SLOW,Byculla,07:00,TUESDAY,CLEAR,HIGH
CSMT_SLOW,Vashi,20:45,SATURDAY,CLEAR,LOW
CSMT_SLOW,Vashi,05:00,SATURDAY,CLOUDY,LOW
CSMT_SLOW,Borivali,21:30,SUNDAY,RAIN,LOW
CSMT_SLOW,Kalyan,22:00,TUESDAY,CLEAR,HIGH
CSMT_FAST,Bandra,08:00,TUESDAY,RAIN,HIGH
CSMT_SLOW,Kanjurmarg,16:30,TUESDAY,CLEAR,HIGH
CSMT_FAST,Kanjurmarg,15:15,SATURDAY,CLEAR,LOW
CSMT_SLOW,Kalyan,07:15,THURSDAY,RAIN,HIGH
CSMT_SLOW,Vikhroli,11:30,THURSDAY,RAIN,HIGH
CSMT_SLOW,Vikhroli,12:00,WEDNESDAY,CLOUDY,LOW
CSMT_SLOW,Kanjurmarg,22:45,MONDAY,RAIN,LOW
CSMT_SLOW,Andheri,16:00,SUNDAY,CLOUDY,LOW
CSMT_SLOW,Dadar,23:00,SUNDAY,CLEAR,LOW
CSMT_FAST,Bhandup,10:30,WEDNESDAY,CLEAR,LOW
CSMT_SLOW,Byculla,07:00,MONDAY,CLOUDY,HIGH
CSMT_SLOW,Thane,15:00,WEDNESDAY,RAIN,HIGH
CSMT_FAST,Ghatkopar,05:45,THURSDAY,CLEAR,HIGH
CSMT_FAST,Nerul,23:15,THURSDAY,CLOUDY,LOW
CSMT_SLOW,Panvel,16:15,MONDAY,CLOUDY,HIGH
CSMT_FAST,Dombivli,20:00,WEDNESDAY,CLEAR,MEDIUM
CSMT_SLOW,Dadar,11:45,MONDAY,CLOUDY,HIGH
CSMT_SLOW,Bhandup,21:45,MONDAY,CLOUDY,LOW
CSMT_FAST,Borivali,09:15,FRIDAY,CLOUDY,HIGH
CSMT_SLOW,Vikhroli,06:30,WEDNESDAY,CLOUDY,LOW
CSMT_SLOW,Andheri,12:30,SUNDAY,CLOUDY,LOW
CSMT_SLOW,Ghatkopar,08:45,MONDAY,CLOUDY,HIGH
CSMT_FAST,Vikhroli,06:30,FRIDAY,CLEAR,HIGH
CSMT_FAST,Dadar,08:30,MONDAY,CLEAR,HIGH
CSMT_FAST,Ghatkopar,22:30,MONDAY,CLEAR,HIGH
CSMT_FAST,Kanjurmarg,08:15,SATURDAY,CLOUDY,HIGH
CSMT_SLOW,Mulund,13:15,FRIDAY,RAIN,HIGH
CSMT_FAST,Kanjurmarg,06:30,SUNDAY,RAIN,LOW
CSMT_FAST,Kalyan,22:30,SATURDAY,CLEAR,LOW
CSMT_FAST,Dombivli,20:45,SATURDAY,RAIN,LOW
CSMT_FAST,Panvel,05:15,SUNDAY,RAIN,LOW
CSMT_SLOW,Nerul,16:00,TUESDAY,CLEAR,MEDIUM
CSMT_SLOW,Bandra,12:45,TUESDAY,CLOUDY,MEDIUM
CSMT_SLOW,Borivali,14:45,MONDAY,CLEAR,LOW
CSMT_SLOW,Mulund,13:15,MONDAY,RAIN,LOW
CSMT_FAST,Kalyan,05:15,SUNDAY,CLEAR,LOW
